"","x"
"11","两个老头聊天,第一个老头说:""这个人啊,就要常笑,不笑的人太严肃,是苦瓜脸.""第二个老头说:""可是你笑的时候才像苦瓜脸,你一笑脸上都是褶子,就像苦瓜横过来看时候的纹路一样."""
"12","1、路人：你大半夜在路上拦车劫财为什么蒙着口罩？劫匪：你TM傻啊，这深秋季节，晚上天那么凉，怕感冒呗。。。2、“如何形容一个人的诗写得烂？”“乾隆写得都比你好！ ”3、香蕉，水果中的炽烈女子，从青涩到成熟可以一夜之间。呵，老子都这么甜了，还不吃我？那等着，烂给你看！4、今天突然想到一个问题：西游记中玉帝只有十万天兵天将，而天蓬元帅有八十万天河水军，天蓬元帅为什么不反玉帝自己做玉帝呢？......"
"13","1、一个女孩让我帮她寄快递给了我一个空纸箱让我打包我好奇的问她：“这是寄给谁的”她说：“我喜欢很久的一个男生”我懵了一下：“可是里面没有东西氨她说：有些东西只有我自己能看见我一听更懵了 神秘的问她到底是什么她说：“一箱情愿！ ”2、女：你在干嘛呢？男：我正在一同学家喜事上，好无聊。女：怎么会无聊呢？人肯定很多吧？男：多也没用啊，他们爱打牌的打牌，爱喝酒的喝酒，就我闲着。女：那你爱什么？......"
"14","1、如果一个人做事雷打不动，说明此人已被雷劈死。2、如果说身边有钱就有安全感，那为什么运钞车押运员还带着枪呢？真是莫名其妙。3、年纪大了，喝杯冰啤酒都想往里面加两个枸杞。4、你才21岁，还是个孩子；你侄子已经8岁了，不是小孩子了。5、水塘里面，一只鸭子问另一个鸭子：“你在干什么呢？”另一个：“我在泡脚叻！ ”6、童话就是：公主吻了一下青蛙，青蛙变成了英俊的王子，旁边的人一片祝福“在一起在一起”；现实就是：公主吻了一下青蛙，然后感染了曼氏迭宫绦虫裂头蚴，旁边的人冷嘲道“不作就不会死”。7、百岁寿星老奶奶：我喝啤酒帮助消化，如果胃口不好我就喝白酒，低血压的时候喝点红酒，血压过高的话来点威士忌，感冒的时侯我会喝蒸馏酒。......"
"15","1、路遇一对小情侣在吵架，男说：我对你这么好，恨不得把所有好吃的都给你，你呢？恨不得把所有好吃的都吃完。。。2、大庭广众下，男孩俯身为女孩系鞋带，女孩紧紧捂住嘴巴，感动的话语瞬间被憋至双眸，眼看就要化作泪水。。。男孩抬起头幽幽地说：“绑紧点好，免得走味儿~”3、男孩和女孩相恋很久了，一直只是拉拉小手，拥拥抱，没有更深入的接触。有天他们一起吃完宵夜，女孩深情地说：“明天我想跟你一起看日出。”男孩：“好呀！明天早上我去找你！ ”......"
"16","1、小时候，和小伙伴去小河里捞鱼，收获颇丰。开始分鱼了！一个小伙伴说:我爸喜欢喝酒，他说大鱼下酒才香！说完就抓大鱼往桶里放。。。我就在旁边看着不说话，等他装好，我提起他装鱼的桶就跑，边跑边说：我爸也爱喝酒。。。2、一个小村子边上有一栋低矮的小木屋，一位老妇正坐在门前晒太阳。这时，一辆奔驰车驶了过来，车上走下来一个衣着华丽的男人：“老奶奶，您还记得1943年冬天您救过一个穿着暗红色大衣小男孩的事吗？”“记得，孩子，当然记得。”老奶奶兴奋地回答。“我就是当年那个小男孩儿，我来取大衣了。”3、粟裕将军夫人楚青曾经是有名的名媛望族。......"
"17","1、心眼儿这东西，很难懂：想多了，小心眼；想少了，没心眼；一直想吧，死心眼；不想了吧，缺心眼。。。2、好吃的饭太贵，便宜的饭难吃，只有垃圾食品，好吃又便宜！3、“为什么我总是碰不上好运气？”“因为好运气可没那么倒霉埃”4、面试官：“忘掉你在大学里学过的东西，这里的工作不需要那些！ ”我：“可我没读过大学啊！ ”面试官：“那不好意思我说错了，这里的工作不需要你！ ”5、我：“人家都说打游戏是为了放松，你打游戏最放松的是什么时候？”......"
"18","1、明晚19:30谁有空一起去看张学友演唱会，我这里有两张。。。。。报纸，一人一张，垫在屁股下往演唱会门口一坐。。。。让我们一起吹吹风，吹吹风！2、爱卿，你去江南赈灾一个月，忙得连奏折都顾不上写了吗？朕不好意思和文武百官谈论你，十分气闷，今天看到有人弹劾你，欢喜得把弹劾奏折看了十多遍。3、一位蹬着三轮车收破烂的大爷，不小心把前面的一辆宝马车蹭了。宝马车主气腾腾地走下来，从裤兜里掏出一把小刀，然后在锈迹斑斑的三轮车上狠狠地划了一刀：“咱俩扯平了 ！ ”......"
"19","1、男人谈恋爱就像做数学题，有些成绩差的，错了都不知道哪里错了。2、报个志愿跟找对象似的，不敢高攀，又怕嫁委屈了，找个门当户对自己喜欢的真难。3、制造销售伪劣化妆品的奸商太可恶了，要知道，很多化妆品最后都是被咱们男同胞吃到肚子里了。4、突如其来的脾气，往往是积攒很久了的委屈。5、你的付出别人不一定领情，比如：杜甫一生为李白写了很多诗，但，李白不仅不领情，还写了一首《赠汪伦》。。。6、最体贴你的是你的鞋子，不要嫌它脏，那是因为你走的路不干净，最了解你的不是你的朋友，而是你的敌人。真坏人并不可怕，可怕的是假好人。7、我特别羡慕两种女人，一种是特别拽，走路带风，自己事业贼牛B谁都不屌的那种；......"
"20","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"21","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"22","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"23","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"24","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"25","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"26","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"27","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"28","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"29","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"30","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"31","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"32","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"33","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"34","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"35","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"36","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"37","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"38","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"39","1、小女孩问她妈妈：“妈妈为什么你那么美，我这么丑？”妈妈：“因为你还小，还没到可以整容的年纪。”2、闺蜜男友因为不上课挂科延迟毕业，男友的妈妈打电话跟闺蜜闹，说：就顾着自己毕业，为什么她儿子不上课的时候不知道叮嘱他上课去，这么自私以后怎么在一起。。。3、我问老妈：“有个姐姐又有个哥哥，为什么还会生我呢？”老妈跟我说：“等你哥、你姐生出来之后，我们发现长得都太丑了，后来我们就想生一个又可爱又漂亮的孩子。”当时我就很兴奋，很骄傲的跟我妈说：“那为什么生完我以后就不生了呢？”......"
"40","1、这天热的哟，你看鱼都泡在水里不出来了。2、健身这种事，不是贵在坚持，而是贵在会员费和私教费上。3、为什么女人总是说“到底是我重要还是游戏重要”，而游戏却不会这么说呢？因为游戏知道自己比女人重要。4、今天我倒放了自己的婚礼视频。简直是太感人了！我差点就哭出来了。脱掉她的戒指，把她还给她爹，再踩着米高积逊的月球舞步离开婚礼现常。。5、知道今年为什么这么热吗？告诉你个秘密，放开二胎后，太阳他娘又生了一个太阳！6、贺涵说，他在罗子君身上看到她为了生活特别努力的样子！......"
"41","1、同事：领导，我不舒服，上午请个假啊！ 领导：要紧吗？不用打针的话，吃点药到公司坚持坚持……同事：当然要打针啊，估计得一上午。领导：别忽悠我，下午来了我可要查针眼儿埃2、中午去买鱼丸，跟老板说要十块钱的，老板称了显示9.95元。。。老板纠结了一下，果断从称好的鱼丸里拿出一个好的换了一个带冰渣子的，瞬间显示10.04，老板满意的笑了。。。3、中午下班时，同事叫我一起去吃饭，我有事，于是对他说：“我还有点事情，不去吃了，你把我的份吃了吧！ ”......"
"42","1、一男经常将剩饭放入冰箱，第二餐时不加热直接食用，她女友关心道：你这样吃对身体不好。这时他只笑笑：呵呵，没事，我就喜欢饭冰冰。2、相亲，女：“我跟你前女友比怎么样？”男：“一个天上一个地下！ ”女：“我那么好呀？”男：“她去年车祸去世了，在天上。”女。。。3、有句话我不得不说。如果你不做家务，那女人只能说你懒。但是如果你什么家务都做，那你就会变成“笨”、“蠢货”、“碍事鬼”、“越帮越忙”、“笨手笨脚”、“这么简单都不会”、“地都拖不干净”、“小心眼说两句就不干了”。。。4、女：“有没有那么一瞬间，让你觉得如果能一直这样下去该多好。。。”......"
"43","在公交车上看到一年轻孕妇和一妹子聊天。孕妇：自从怀孕后，我就超爱吃辣的。妹子：酸儿辣女，肯定是女孩。孕妇：那我从现在开始硬吃酸的，会不会生男孩子。。妹子：不会，顶多是个女汉子。。"
"44","参加朋友婚礼，司仪问新郎：站在你左边的那位姑娘美不美？新郎鼓起全部力量大声回答：美！！！司仪：谢谢新郎，站在你左边的姑娘是我。。。"
"45","白雪公主结婚后身体一直不好，王子领她到医院检查，发现公主只剩一个肾了！王子问为什么....公主回答：“当年，我在森林隐居时，有一天，一个巫婆敲门问我说，‘孩子，要苹果吗？"
"46","看着她惨白的脸庞，我硬起心肠掰开了她抓住我的手，沉痛地道：“对不起，我巨大的压力你无法承受，我终究只是你生命中的过客，我们有缘来世再见。”说完我就要驱车离去，这时一群人拥上来暴揍了我一顿：“靠，车压人了还想跑，打得就是你丫的。“"
"47","出门逛街看见满大街的熟人，可我一个也不认识。"
"48","男子笑里藏刀导致面部多处割伤，导致毁容！"
"49","邓艾钟会逼近成都，刘禅惊慌失措。有大臣劝告：“邓艾有五万精兵，钟会四万，我们难以抵挡，陛下还是赶紧求和吧。”刘禅愁得一夜没睡，第二天却突然召集大臣兴奋地宣布：“和求出来了！是九万！１"
"50","今天在路上碰到一个乞丐，说只要给他瓶水，让他做什么都行。于是我递给了他一瓶水，让他帮我拧开。"
"51","1、头发和剪刀吵架了，剪刀生气地说：“哼，不理你了。”2、屎壳郎男孩对他的女朋友说：“昨天我团了一个二人套餐，粪量很足，一起去吃吧！ ”3、牛郎：亲爱的，今天不是七夕，你怎么过河来了？织女：别提了，被一帮学雷锋的扶过来的。4、小兔子不服老虎大王，要去挑战它，请问谁会死？答：熊和豹子，因为怕小兔子肯定是吃了熊心豹子胆。5、茶壶说：“有些事，容不得你想不开。”水管说：“有些事，容不得你想不通。”......"
"52","贼甲：“今夜伸手不见五指，走，咱们去干一票１贼乙：“我喜欢在满天星的夜晚动手。”贼甲：“你好特别１贼乙：“不瞒你说，我外号星光大盗。”（贼甲一下将贼乙扑倒。）贼乙大惊：“你想干啥？”贼甲兴奋道：“我今生最大的心愿就是希望能上一次星光大盗。”"
"53","“孩儿他爸，咱儿子买手机被宰了１“啊？他给了多少钱？”“他没给钱。”"
"54","我把表拿到修表店：“我的表不走了，想修一下。”“好的，明天来取吧。”第二天，我又去表店的时候，发现我的表不见了，就问店员：“我的表呢？”“它走了。”"
"55","包大人昨夜被蚊子咬了很多包，甚是烦恼，无奈之下向公孙策求个治蚊子的方法。公孙策看了看包大人，说：“你把灯关了再睡嘛，这样蚊子就看不见你了１包大人：“%￥#..”"
"56","女子问禅师：“生活不如意，身边的人和事难以忍受，无法融入社会。”禅师拿出一个小杯子让女子朝里面倒水，很快水就满了。禅师又拿出一个大杯子。这次水倒完了，杯子也没满。女子若有所思的点点头：“您是说，只有胸怀宽广，才能包容一切？”禅师摇摇头：“我是说，女人，关键要杯大。”"
"57","“怀孕能不能吃香蕉？医生让多吃，老人家说香蕉滑胎不能吃。”“老人家说的总有道理。我有个表弟，他妈怀他的时候不听劝吃了好多香蕉…”“后来流产啦？”“倒是安全生下来了。本来大家都以为没事了，想不到在他四岁的时候…”“生大病了？”“有一天不小心踩到香蕉皮滑倒了。”"
"58","今天我在公交车上放了一个响屁，旁边当即有好几个人转了身。瞬间我就有一种自己上了好声音的感觉……"
"59","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"60","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"61","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"62","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"63","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
